,epsilon,g,gamma_hot,gamma_cold,temperature_hot,temperature_cold,concurrence
43,1,0.02,0.001,0.1,4.3999999999999995,0.01,0.06438552266747716
44,1,0.02,0.001,0.1,4.5,0.01,0.06527962546408188
45,1,0.02,0.001,0.1,4.6,0.01,0.06614994243239097
46,1,0.02,0.001,0.1,4.7,0.01,0.0669970695246218
47,1,0.02,0.001,0.1,4.8,0.01,0.06782158561871177
48,1,0.02,0.001,0.1,4.9,0.01,0.06862405299052654
49,1,0.02,0.001,0.1,5.0,0.01,0.06940501778692854
50,1,0.02,0.001,0.1,5.1,0.01,0.07016501049659526
51,1,0.02,0.001,0.1,5.2,0.01,0.07090454641612627
52,1,0.02,0.001,0.1,5.3,0.01,0.0716241261095214
53,1,0.02,0.001,0.1,5.4,0.01,0.0723242358595239
54,1,0.02,0.001,0.1,5.5,0.01,0.07300534810970018
55,1,0.02,0.001,0.1,5.6,0.01,0.073667921896393
56,1,0.02,0.001,0.1,5.7,0.01,0.07431240326993037
57,1,0.02,0.001,0.1,5.8,0.01,0.07493922570466333
58,1,0.02,0.001,0.1,5.9,0.01,0.0755488104975552
59,1,0.02,0.001,0.1,6.0,0.01,0.07614156715517377
60,1,0.02,0.001,0.1,6.1,0.01,0.07671789376904281
61,1,0.02,0.001,0.1,6.2,0.01,0.07727817737938482
62,1,0.02,0.001,0.1,6.3,0.01,0.07782279432735577
63,1,0.02,0.001,0.1,6.4,0.01,0.07835211059592904
64,1,0.02,0.001,0.1,6.5,0.01,0.07886648213961572
65,1,0.02,0.001,0.1,6.6,0.01,0.07936625520325262
66,1,0.02,0.001,0.1,6.7,0.01,0.07985176663010492
67,1,0.02,0.001,0.1,6.8,0.01,0.08032334415955218
68,1,0.02,0.001,0.1,6.9,0.01,0.08078130671463771
69,1,0.02,0.001,0.1,7.0,0.01,0.08122596467977349
70,1,0.02,0.001,0.1,7.1,0.01,0.08165762016888875
71,1,0.02,0.001,0.1,7.2,0.01,0.08207656728432762
72,1,0.02,0.001,0.1,7.3,0.01,0.08248309236678347
73,1,0.02,0.001,0.1,7.4,0.01,0.08287747423657416
74,1,0.02,0.001,0.1,7.5,0.01,0.08325998442654042
75,1,0.02,0.001,0.1,7.6,0.01,0.08363088740686138
76,1,0.02,0.001,0.1,7.7,0.01,0.08399044080206565
77,1,0.02,0.001,0.1,7.8,0.01,0.08433889560051247
78,1,0.02,0.001,0.1,7.9,0.01,0.08467649635661477
79,1,0.02,0.001,0.1,8.0,0.01,0.08500348138606072
80,1,0.02,0.001,0.1,8.1,0.01,0.08532008295429168
81,1,0.02,0.001,0.1,8.2,0.01,0.08562652745848016
82,1,0.02,0.001,0.1,8.3,0.01,0.08592303560324718
83,1,0.02,0.001,0.1,8.4,0.01,0.08620982257034876
84,1,0.02,0.001,0.1,8.5,0.01,0.08648709818255633
85,1,0.02,0.001,0.1,8.6,0.01,0.08675506706194532
86,1,0.02,0.001,0.1,8.7,0.01,0.08701392878279407
87,1,0.02,0.001,0.1,8.8,0.01,0.08726387801930585
88,1,0.02,0.001,0.1,8.9,0.01,0.0875051046883321
89,1,0.02,0.001,0.1,9.0,0.01,0.08773779408729283
90,1,0.02,0.001,0.1,9.1,0.01,0.08796212702746892
91,1,0.02,0.001,0.1,9.2,0.01,0.08817827996283727
92,1,0.02,0.001,0.1,9.3,0.01,0.0883864251146175
